id,estado_contacto,corridor,micro_zone,city,priority,score_operativo,name,sector,segmento_comercial,phone,phone_quality,telefono_principal_tel,tel_links,ask_for,need_probable,offer,hook,accion_sugerida,dato_pendiente,google_maps,source,source_url,evidencia,calidad_dato,origen_registro,resultado,fecha_visita,proximo_paso,notas_campo
PRESOL-011,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Bravo Gustavo y Guillermo,Premoldeados,Hormigón / áridos / premoldeados,A relevar vía parque,A relevar,,,planta / despacho,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.",Transporte de premoldeados/equipos; áridos sueltos solo sujeto a validar caja volcadora o tercerización.,Premoldeados locales: potencial de transporte de piezas y reparto pesado regional.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Bravo+Gustavo+y+Guillermo+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica fabricación de premoldeados.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-012,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Charrúa Implementos Agrícolas,Implementos agrícolas,Industria / mantenimiento,03571 619149 / 03571 503663 (a confirmar),VER,tel:+543571619149,tel:+543571619149 | tel:+543571503663,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir frecuencia de entregas a concesionarios/campos.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.168609,-64.118792",Web/Facebook Charrúa,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-013,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Construcciones Sermanter S.R.L.,"Construcción, montaje y mantenimiento",Metalmecánica / despacho,A relevar vía parque,A relevar,,,jefe de obra / mantenimiento,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS.,"Constructor/montajista local: puede demandar traslado de equipos, estructuras y materiales pesados.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Construcciones+Sermanter+S.R.L.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,"Empresa listada en Parque Industrial como construcción, montaje y mantenimiento.",Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-014,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Fabri-Mec,Tornería / hoyadoras hidráulicas para grúas y minicargadoras,Industria / mantenimiento,A relevar vía parque,A relevar,,,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Fabrica implementos hidráulicos vinculados a grúas/minicargadoras; probable movimiento de piezas/equipos.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Fabri-Mec+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque describe hoyadoras hidráulicas adaptables a grúas/minicargadoras.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-015,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,50,Fábrica Militar Río Tercero,Industria estatal / metalmecánica pesada,Metalmecánica / despacho,A relevar,A relevar,,,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Entrar por proveedores/subcontratistas antes que compra directa estatal.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181966,-64.113216",Fabricaciones Militares / informes previos,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-016,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,HIDROSERVIS,Cilindros hidráulicos,Industria / mantenimiento,Portería parque: 03571 565662,VER,tel:+543571565662,tel:+543571565662,responsable de logística/compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.",Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ofrecer servicio de retiro/entrega de equipos pesados.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181800,-64.104800",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-017,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,Hidrobull,Accesorios para minicargadoras,Industria / mantenimiento,03571 549612,OK,tel:+543571549612,tel:+543571549612,responsable de logística/compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.",Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Preguntar si entregan accesorios con terceros.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.171500,-64.116500",Facebook Hidrobull,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-018,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Hormilas S.A.,Hormigón elaborado,Hormigón / áridos / premoldeados,03571 573231 (a confirmar),VER,tel:+543571573231,tel:+543571573231,operaciones / planta,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.","Traslado de equipos de planta, bombas, premoldeados y apoyo a picos de obra.",Visita breve: detectar si tercerizan fletes de planta.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.163876,-64.106999",Parque Industrial Río Tercero / búsqueda web,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-019,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,LiftingMach S.A.,Autoelevadores / maquinaria industrial,Industria / mantenimiento,A relevar vía parque,A relevar,,,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Fabricación de autoelevadores vinculada a Metalúrgica Río Tercero / LiuGong; posible movimiento de equipos.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=LiftingMach+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero / Maquinac,https://parqueindustrial.riotercero.gob.ar/empresas,Listado de empresas del Parque Industrial; Maquinac menciona conformación LiftingMach para autoelevadores.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-020,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,MetalMec S.R.L.,Implementos y accesorios,Industria / mantenimiento,03571 681577 / 03571 506656,OK,tel:+543571681577,tel:+543571681577 | tel:+543571506656,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Ofrecer retiro/entrega con monitoreo GPS.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.170500,-64.118500",Facebook MetalMec,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-021,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,Oleos San José S.R.L.,Extrusado/aceite de soja,Industria / mantenimiento,03571 692471 / 03571 640630,OK,tel:+543571692471,tel:+543571692471 | tel:+543571640630,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Entrar por mantenimiento/planta.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.182600,-64.102500",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-022,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,PROMETVA S.R.L.,Ingeniería / fabricación industrial,Industria / mantenimiento,A relevar vía parque,A relevar,,,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.","Ingeniería y fabricación: potencial despacho de piezas, estructuras o equipos.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=PROMETVA+S.R.L.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica experiencia en ingeniería y fabricación.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-023,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,75,Río Metal,Estructuras metálicas,Metalmecánica / despacho,+54 9 3571 52-9444,OK,tel:+5493571529444,tel:+5493571529444,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS.,Fabricación de estructuras metálicas: posible salida de piezas a obra.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=R%C3%ADo+Metal+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero / Facebook público,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque + ficha social pública con teléfono informado.,Alta,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-024,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Taller Sarmiento,Servicios industriales / mantenimiento,Industria / mantenimiento,A relevar vía parque,A relevar,,,mantenimiento / compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Prestación de servicios industriales dentro del parque; posible movimiento de equipos o repuestos pesados.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Taller+Sarmiento+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Empresa listada en Parque Industrial: servicios industriales desde 1992.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-025,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,40,Grupo AVO S.A.,Aceite de soja / balanceados,Industria / mantenimiento,Portería parque: 03571 565662,VER,tel:+543571565662,tel:+543571565662,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visitar si queda en ruta del parque.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-026,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Transporte Sosa,Fabricación y reparación de cajas volcadoras,Industria / mantenimiento,A relevar vía parque,A relevar,,,dueño / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Contacto útil para validar/tercerizar caja volcadora o entender oferta local de volcadoras.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Transporte+Sosa+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica fabricación y reparación de cajas volcadoras.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-027,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Volonte Marcelo,"Arenado, pintura industrial y servicio de izaje",Industria / mantenimiento,A relevar vía parque,A relevar,,,operaciones / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.","Más que cliente, posible referencia/alianza/competencia para izajes y maniobras.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Volonte+Marcelo+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,"Listado del parque: arenado, pintura industrial y servicio de izaje.",Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-028,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,30,Áridos S.A.,Áridos / cantera,Hormigón / áridos / premoldeados,A relevar,A relevar,,,planta / mantenimiento,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.",Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Solo vender si se confirma caja volcadora o servicio tercerizable.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",EMIS / Instagram @aridos.sa,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-029,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,A,100,AGD — Planta de Acopio Corralito,Acopio agroindustrial,Agro / acopio / planta,03571 492144 / 492172 / 492228,OK,tel:+543571492144,tel:+543571492144,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Acopio AGD; pedir operaciones/mantenimiento.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",agd.com.ar/es/corralito-acopio,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-030,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,B,75,Trisoil S.A.,Alimentos balanceados / aceite,Agro / acopio / planta,03571 502525 / 502526,OK,tel:+543571502525,tel:+543571502525,mantenimiento / compras,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Ofrecer fletes de repuestos/equipos y cargas especiales.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",trisoil.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-031,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,ACOGRA,Fertilizantes líquidos / agroindustria,Agro / acopio / planta,A relevar,A relevar,,,planta / logística,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Producción de fertilizantes líquidos; validar movimientos de insumos, tanques, equipos y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=ACOGRA+Tancacha+C%C3%B3rdoba+Argentina,Instagram público / resultado de búsqueda,https://www.instagram.com/reel/DQet3NikYDU?hl=en,Resultado público menciona empresa de Tancacha que produce fertilizantes líquidos y exporta.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-032,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,Agricultores Unidos de Tancacha Coop. Agrícola Ltda.,Cooperativa agropecuaria / insumos,Agro / acopio / planta,A relevar,A relevar,,,compra de insumos / acopio,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Cooperativa local: posible entrada por insumos, acopio y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Agricultores+Unidos+de+Tancacha+Coop.+Agr%C3%ADcola+Ltda.+Tancacha+C%C3%B3rdoba+Argentina,LinkedIn público / búsqueda,https://www.linkedin.com/in/maximiliano-mat%C3%A9lica-9b7885125,Perfil público referencia a encargado de compra de insumos agrícolas en la cooperativa.,Media,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-033,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,75,Alimentos Tancacha,Alimentos balanceados / planta industrial,Agro / acopio / planta,+54 3571 50-2272,OK,tel:+543571502272,tel:+543571502272,mantenimiento / logística,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,Planta industrial en Tancacha; potencial de repuestos/equipos y movimientos especiales.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Alimentos+Tancacha+Tancacha+C%C3%B3rdoba+Argentina,Web propia Alimentos Tancacha,http://www.alimentostancacha.com/contacto,"Sitio propio publica teléfono, mail y dirección de planta industrial en Tancacha.",Alta,Nuevo enriquecimiento 2026-09-02,,,,
